Predicate	RelCount	IrrelCount
total	128171	297167
http://dbpedia.org/ontology/administrativeCollectivity	67	9
http://dbpedia.org/ontology/administrativeDistrict	62	4
http://dbpedia.org/ontology/affiliation	14	195
http://dbpedia.org/ontology/alumni	1	9
http://dbpedia.org/ontology/anthem	1	125
http://dbpedia.org/ontology/archipelago	83	4
http://dbpedia.org/ontology/architect	1	19
http://dbpedia.org/ontology/arrondissement	121	60
http://dbpedia.org/ontology/associationOfLocalGovernment	154	2
http://dbpedia.org/ontology/athletics	0	24
http://dbpedia.org/ontology/borough	54	2
http://dbpedia.org/ontology/builder	0	13
http://dbpedia.org/ontology/campus	37	17
http://dbpedia.org/ontology/canton	62	227
http://dbpedia.org/ontology/capital	197	5
http://dbpedia.org/ontology/ceremonialCounty	40	2
http://dbpedia.org/ontology/chancellor	0	52
http://dbpedia.org/ontology/city	5189	262
http://dbpedia.org/ontology/colour	1	29
http://dbpedia.org/ontology/councilArea	27	8
http://dbpedia.org/ontology/country	292	81
http://dbpedia.org/ontology/county	281	16
http://dbpedia.org/ontology/currency	0	142
http://dbpedia.org/ontology/denomination	4	13
http://dbpedia.org/ontology/department	176	6
http://dbpedia.org/ontology/district	1179	500
http://dbpedia.org/ontology/division	15	18
http://dbpedia.org/ontology/engineer	1	9
http://dbpedia.org/ontology/ethnicGroup	4	106
http://dbpedia.org/ontology/federalState	16	2
http://dbpedia.org/ontology/firstAscentPerson	3	181
http://dbpedia.org/ontology/foundedBy	2	58
http://dbpedia.org/ontology/foundingPerson	2	65
http://dbpedia.org/ontology/frazioni	412	666
http://dbpedia.org/ontology/governingBody	2	14
http://dbpedia.org/ontology/government	3	9
http://dbpedia.org/ontology/governmentPosition	33	0
http://dbpedia.org/ontology/governmentRegion	8	12
http://dbpedia.org/ontology/governmentType	8	161
http://dbpedia.org/ontology/grades	0	22
http://dbpedia.org/ontology/head	5	36
http://dbpedia.org/ontology/highestPlace	14	3
http://dbpedia.org/ontology/highestPosition	38	0
http://dbpedia.org/ontology/highestRegion	10	5
http://dbpedia.org/ontology/highestState	26	7
http://dbpedia.org/ontology/intercommunality	21	281
http://dbpedia.org/ontology/isPartOf	10544	1596
http://dbpedia.org/ontology/jointCommunity	100	1
http://dbpedia.org/ontology/language	2	104
http://dbpedia.org/ontology/largestCity	141	8
http://dbpedia.org/ontology/largestSettlement	16	1
http://dbpedia.org/ontology/leader	0	14
http://dbpedia.org/ontology/leaderName	68	3037
http://dbpedia.org/ontology/leaderParty	4	200
http://dbpedia.org/ontology/lieutenancyArea	39	7
http://dbpedia.org/ontology/localAuthority	55	21
http://dbpedia.org/ontology/locatedInArea	1044	125
http://dbpedia.org/ontology/location	5443	654
http://dbpedia.org/ontology/lowestState	15	3
http://dbpedia.org/ontology/majorIsland	39	5
http://dbpedia.org/ontology/mayor	0	123
http://dbpedia.org/ontology/metropolitanBorough	41	1
http://dbpedia.org/ontology/mountainRange	193	317
http://dbpedia.org/ontology/municipality	190	17
http://dbpedia.org/ontology/officialLanguage	1	54
http://dbpedia.org/ontology/operator	366	409
http://dbpedia.org/ontology/origin	12	4
http://dbpedia.org/ontology/owner	533	215
http://dbpedia.org/ontology/parentMountainPeak	416	16
http://dbpedia.org/ontology/part	1348	306
http://dbpedia.org/ontology/president	1	72
http://dbpedia.org/ontology/principalArea	46	1
http://dbpedia.org/ontology/province	129	15
http://dbpedia.org/ontology/rector	0	20
http://dbpedia.org/ontology/region	280	60
http://dbpedia.org/ontology/regionalLanguage	1	13
http://dbpedia.org/ontology/religion	4	45
http://dbpedia.org/ontology/rival	204	26
http://dbpedia.org/ontology/river	61	43
http://dbpedia.org/ontology/riverMouth	17	3
http://dbpedia.org/ontology/saint	35	577
http://dbpedia.org/ontology/schoolBoard	8	24
http://dbpedia.org/ontology/schoolPatron	0	10
http://dbpedia.org/ontology/sourceCountry	14	0
http://dbpedia.org/ontology/sport	0	28
http://dbpedia.org/ontology/state	100	42
http://dbpedia.org/ontology/tenant	6	310
http://dbpedia.org/ontology/thumbnail	0	53385
http://dbpedia.org/ontology/timeZone	10	96
http://dbpedia.org/ontology/twinCity	247	24
http://dbpedia.org/ontology/twinCountry	60	11
http://dbpedia.org/ontology/type	27	508
http://dbpedia.org/ontology/viceChancellor	0	26
http://dbpedia.org/ontology/wikiPageDisambiguates	869	977
http://dbpedia.org/ontology/wikiPageRedirects	2348	64
http://dbpedia.org/property/accreditation	1	31
http://dbpedia.org/property/adjacentcomuni	24	0
http://dbpedia.org/property/adjcaentcomuni	10	0
http://dbpedia.org/property/admCtrOf	11	37
http://dbpedia.org/property/admDistrictJur	2	27
http://dbpedia.org/property/affiliation	9	48
http://dbpedia.org/property/affiliations	12	150
http://dbpedia.org/property/after	145	4
http://dbpedia.org/property/age	0	19
http://dbpedia.org/property/anticlockwise	34	0
http://dbpedia.org/property/archipelago	59	3
http://dbpedia.org/property/architect	0	16
http://dbpedia.org/property/area	8	3
http://dbpedia.org/property/areaCode	14	20
http://dbpedia.org/property/areaCodeType	2	34
http://dbpedia.org/property/arrondissement	47	53
http://dbpedia.org/property/athletics	2	60
http://dbpedia.org/property/back	22	0
http://dbpedia.org/property/before	155	2
http://dbpedia.org/property/bird	0	18
http://dbpedia.org/property/blank1Info	94	64
http://dbpedia.org/property/blank1InfoSec	7	99
http://dbpedia.org/property/blank1Name	0	30
http://dbpedia.org/property/blank1NameSec	2	11
http://dbpedia.org/property/blank2Info	9	116
http://dbpedia.org/property/blank2InfoSec	5	38
http://dbpedia.org/property/blank2Name	0	21
http://dbpedia.org/property/blank3Info	6	24
http://dbpedia.org/property/blank3InfoSec	1	26
http://dbpedia.org/property/blank3Name	0	12
http://dbpedia.org/property/blank4Info	3	19
http://dbpedia.org/property/blank5Info	2	17
http://dbpedia.org/property/blank6Info	1	12
http://dbpedia.org/property/blankInfo	23	113
http://dbpedia.org/property/blankInfoSec	12	73
http://dbpedia.org/property/blankName	0	54
http://dbpedia.org/property/blankNameSec	1	25
http://dbpedia.org/property/c	0	10
http://dbpedia.org/property/callingCode	9	161
http://dbpedia.org/property/campus	14	9
http://dbpedia.org/property/canton	1	206
http://dbpedia.org/property/capital	180	4
http://dbpedia.org/property/caption	37	34
http://dbpedia.org/property/category	0	25
http://dbpedia.org/property/cctld	0	163
http://dbpedia.org/property/chancellor	0	37
http://dbpedia.org/property/city	1474	35
http://dbpedia.org/property/cityServed	3408	212
http://dbpedia.org/property/civilParish	402	21
http://dbpedia.org/property/classes	0	16
http://dbpedia.org/property/clockwise	33	0
http://dbpedia.org/property/colors	0	19
http://dbpedia.org/property/commune	17	1
http://dbpedia.org/property/communities	44	3
http://dbpedia.org/property/communityWales	20	3
http://dbpedia.org/property/conference	2	177
http://dbpedia.org/property/constituencyNiAssembly	18	0
http://dbpedia.org/property/constituencyScottishParliament	3	81
http://dbpedia.org/property/constituencyWelshAssembly	39	4
http://dbpedia.org/property/constituencyWestminster	593	109
http://dbpedia.org/property/country	91	4
http://dbpedia.org/property/country1AdminDivisions	36	1
http://dbpedia.org/property/country2AdminDivisions	15	1
http://dbpedia.org/property/countryAdminDivisions	196	12
http://dbpedia.org/property/countryAdminDivisionsTitle	2	49
http://dbpedia.org/property/countryLargestCity	65	2
http://dbpedia.org/property/county	160	19
http://dbpedia.org/property/currency	0	125
http://dbpedia.org/property/data	4	8
http://dbpedia.org/property/demographics1Title	0	44
http://dbpedia.org/property/demographics2Title	0	13
http://dbpedia.org/property/demonym	0	55
http://dbpedia.org/property/denomination	3	12
http://dbpedia.org/property/department	39	2
http://dbpedia.org/property/district	553	448
http://dbpedia.org/property/easiestRoute	7	35
http://dbpedia.org/property/east	1804	61
http://dbpedia.org/property/establishedDate	2	12
http://dbpedia.org/property/establishedEvent	26	208
http://dbpedia.org/property/establishedTitle	3	51
http://dbpedia.org/property/ethnicGroups	2	41
http://dbpedia.org/property/event	1	11
http://dbpedia.org/property/federalSubject	43	0
http://dbpedia.org/property/fedgov	51	0
http://dbpedia.org/property/feeders	21	12
http://dbpedia.org/property/firstAscent	0	13
http://dbpedia.org/property/flower	0	31
http://dbpedia.org/property/focusCity	1	14
http://dbpedia.org/property/forward	22	0
http://dbpedia.org/property/founder	1	92
http://dbpedia.org/property/fractions	1533	163
http://dbpedia.org/property/frazioni	95	238
http://dbpedia.org/property/free	40	114
http://dbpedia.org/property/freeLabel	0	10
http://dbpedia.org/property/freeText	19	20
http://dbpedia.org/property/gebirge	3	8
http://dbpedia.org/property/governingBody	3	18
http://dbpedia.org/property/governmentRegion	4	10
http://dbpedia.org/property/governmentState	23	0
http://dbpedia.org/property/governmentType	4	143
http://dbpedia.org/property/grades	0	12
http://dbpedia.org/property/hasPhotoCollection	0	94930
http://dbpedia.org/property/head	1	23
http://dbpedia.org/property/highestMount	56	7
http://dbpedia.org/property/highestRegion	10	1
http://dbpedia.org/property/highestState	24	0
http://dbpedia.org/property/hub	2	156
http://dbpedia.org/property/imageCaption	146	61
http://dbpedia.org/property/intercommunality	10	275
http://dbpedia.org/property/islandGroup	17	1
http://dbpedia.org/property/label	1	56
http://dbpedia.org/property/landmark	8	2
http://dbpedia.org/property/lang	0	12
http://dbpedia.org/property/language	0	48
http://dbpedia.org/property/languages	0	31
http://dbpedia.org/property/largestCity	58	1
http://dbpedia.org/property/lea	39	19
http://dbpedia.org/property/leader	0	10
http://dbpedia.org/property/leaderName	49	2156
http://dbpedia.org/property/leaderParty	3	174
http://dbpedia.org/property/leaderTitle	68	850
http://dbpedia.org/property/legislature	45	120
http://dbpedia.org/property/lga	23	1
http://dbpedia.org/property/lieutenancyEngland	29	0
http://dbpedia.org/property/lieutenancyScotland	37	4
http://dbpedia.org/property/lieutenancyWales	11	2
http://dbpedia.org/property/list	7	3
http://dbpedia.org/property/listing	5	60
http://dbpedia.org/property/location	3919	492
http://dbpedia.org/property/logo	0	102
http://dbpedia.org/property/lowerHouse	20	34
http://dbpedia.org/property/lowestState	15	0
http://dbpedia.org/property/majority	0	27
http://dbpedia.org/property/map	0	19
http://dbpedia.org/property/mascot	1	147
http://dbpedia.org/property/mayor	0	111
http://dbpedia.org/property/mayorParty	0	32
http://dbpedia.org/property/metropolitanBorough	41	1
http://dbpedia.org/property/motto	0	18
http://dbpedia.org/property/municipality	168	7
http://dbpedia.org/property/name	86	101
http://dbpedia.org/property/namedFor	25	94
http://dbpedia.org/property/nearE	38	1
http://dbpedia.org/property/nearN	38	2
http://dbpedia.org/property/nearNe	33	2
http://dbpedia.org/property/nearNw	43	3
http://dbpedia.org/property/nearS	43	4
http://dbpedia.org/property/nearSe	39	2
http://dbpedia.org/property/nearSw	38	7
http://dbpedia.org/property/nearW	45	1
http://dbpedia.org/property/nearestCity	10	1
http://dbpedia.org/property/neighboringMunicipalities	11	0
http://dbpedia.org/property/nickname	4	78
http://dbpedia.org/property/nord	10	1
http://dbpedia.org/property/nordost	9	1
http://dbpedia.org/property/nordwest	8	2
http://dbpedia.org/property/north	1885	53
http://dbpedia.org/property/northeast	1428	40
http://dbpedia.org/property/northwest	1413	37
http://dbpedia.org/property/nota	4	7
http://dbpedia.org/property/occupants	2	9
http://dbpedia.org/property/officialLanguages	0	48
http://dbpedia.org/property/operator	232	313
http://dbpedia.org/property/origin	10	0
http://dbpedia.org/property/ost	10	1
http://dbpedia.org/property/oversight	24	19
http://dbpedia.org/property/owner	289	164
http://dbpedia.org/property/ownerOper	38	33
http://dbpedia.org/property/p	1240	229
http://dbpedia.org/property/parentPeak	403	14
http://dbpedia.org/property/part	164	92
http://dbpedia.org/property/partei	0	21
http://dbpedia.org/property/parties	0	10
http://dbpedia.org/property/partof	2	24
http://dbpedia.org/property/parts	31	53
http://dbpedia.org/property/partsType	0	31
http://dbpedia.org/property/picture	0	23
http://dbpedia.org/property/populationBlank	3	100
http://dbpedia.org/property/populationBlank1Title	4	21
http://dbpedia.org/property/populationBlank2Title	1	11
http://dbpedia.org/property/populationDemonym	3	12
http://dbpedia.org/property/populationNote	1	9
http://dbpedia.org/property/postTown	291	6
http://dbpedia.org/property/postalCode	2	53
http://dbpedia.org/property/postalCodeType	0	53
http://dbpedia.org/property/prefecture	20	0
http://dbpedia.org/property/president	0	54
http://dbpedia.org/property/province	131	15
http://dbpedia.org/property/r1Surface	0	27
http://dbpedia.org/property/r2Surface	0	21
http://dbpedia.org/property/r3Surface	0	11
http://dbpedia.org/property/range	185	308
http://dbpedia.org/property/rector	0	13
http://dbpedia.org/property/regbzk	15	0
http://dbpedia.org/property/region	273	51
http://dbpedia.org/property/religion	4	45
http://dbpedia.org/property/representativeBody	0	22
http://dbpedia.org/property/rival	182	25
http://dbpedia.org/property/rivals	45	6
http://dbpedia.org/property/river	42	35
http://dbpedia.org/property/s	0	16
http://dbpedia.org/property/saint	29	485
http://dbpedia.org/property/schoolboard	8	23
http://dbpedia.org/property/schooltype	0	28
http://dbpedia.org/property/seat	1842	40
http://dbpedia.org/property/sectionsName	17	47
http://dbpedia.org/property/settlementType	2	200
http://dbpedia.org/property/shireCounty	41	0
http://dbpedia.org/property/shireDistrict	221	16
http://dbpedia.org/property/source	6	40
http://dbpedia.org/property/south	1854	52
http://dbpedia.org/property/southeast	1380	46
http://dbpedia.org/property/southwest	1414	43
http://dbpedia.org/property/sovereigntyType	1	64
http://dbpedia.org/property/specialist	0	18
http://dbpedia.org/property/sports	0	23
http://dbpedia.org/property/state	90	43
http://dbpedia.org/property/stateParty	42	1
http://dbpedia.org/property/stategov	0	60
http://dbpedia.org/property/staticImage	0	234
http://dbpedia.org/property/staticImageCaption	46	31
http://dbpedia.org/property/status	0	10
http://dbpedia.org/property/subdivisionName	10368	1618
http://dbpedia.org/property/subdivisionType	33	659
http://dbpedia.org/property/sued	11	1
http://dbpedia.org/property/suedost	10	1
http://dbpedia.org/property/suedwest	9	1
http://dbpedia.org/property/t	0	15
http://dbpedia.org/property/teamName	0	28
http://dbpedia.org/property/tenants	3	122
http://dbpedia.org/property/text	180	60
http://dbpedia.org/property/timeZone	1	49
http://dbpedia.org/property/timeZoneDst	0	14
http://dbpedia.org/property/timezone	4	81
http://dbpedia.org/property/timezone1Dst	0	15
http://dbpedia.org/property/timezoneDst	2	43
http://dbpedia.org/property/title	3	99
http://dbpedia.org/property/town	139	1
http://dbpedia.org/property/translitLang1Type	0	21
http://dbpedia.org/property/tree	0	27
http://dbpedia.org/property/twin	237	30
http://dbpedia.org/property/twin1Country	21	1
http://dbpedia.org/property/twin2Country	11	0
http://dbpedia.org/property/twin4Country	10	0
http://dbpedia.org/property/type	4	165
http://dbpedia.org/property/unitaryEngland	49	13
http://dbpedia.org/property/unitaryNorthernIreland	26	0
http://dbpedia.org/property/unitaryScotland	27	7
http://dbpedia.org/property/unitaryWales	21	1
http://dbpedia.org/property/upperHouse	14	50
http://dbpedia.org/property/verwaltungsgemeinschaft	13	5
http://dbpedia.org/property/viceChancellor	0	12
http://dbpedia.org/property/west	1795	65
http://dbpedia.org/property/wordnet_type	0	17
http://geovocab.org/geometry#geometry	0	86915
http://linkedgeodata.org/ontology/gadmSameAs	86726	106
http://purl.org/dc/terms/contributor	0	8132
http://purl.org/dc/terms/subject	0	33892
